date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-03-18,sh.000002,2926.1598,2950.8481,2859.4864,2859.4864,2912.8667,29091192400,318475479959.0000,3,0.820548,1,-1.832569,0
2020-03-19,sh.000002,2849.6662,2867.9648,2773.5383,2831.5502,2859.4864,30197494500,330350846330.0000,3,0.851539,1,-0.976966,0
2020-03-20,sh.000002,2857.6618,2883.7260,2831.9092,2877.1556,2831.5502,25174103600,281438462038.0000,3,0.709745,1,1.610616,0
2020-03-23,sh.000002,2805.7682,2832.8474,2783.7653,2787.6226,2877.1556,24955937300,268288076770.0000,3,0.703393,1,-3.111858,0
2020-03-24,sh.000002,2832.5595,2853.9743,2794.9395,2852.9544,2787.6226,25681073400,278863961209.0000,3,0.723765,1,2.343639,0
2020-03-25,sh.000002,2908.4067,2922.3785,2890.0211,2914.9844,2852.9544,27293592500,293062919693.0000,3,0.769138,1,2.174237,0
2020-03-26,sh.000002,2894.2988,2922.2565,2885.4200,2897.5085,2914.9844,23393972800,248202652058.0000,3,0.659085,1,-0.599520,0
2020-03-27,sh.000002,2926.9666,2940.1420,2904.6927,2905.1715,2897.5085,24059826800,253532807767.0000,3,0.677807,1,0.264469,0
2020-03-30,sh.000002,2871.0611,2891.4981,2853.6726,2879.0337,2905.1715,23950166900,250580257182.0000,3,0.674187,1,-0.899699,0
2020-03-31,sh.000002,2900.1252,2904.1367,2874.7183,2882.2466,2879.0337,21847083600,224206781487.0000,3,0.614536,1,0.111596,0
2020-04-01,sh.000002,2875.1547,2906.4648,2862.0987,2865.6922,2882.2466,21714017500,225570221065.0000,3,0.610734,1,-0.574358,0
2020-04-02,sh.000002,2850.6890,2914.0861,2850.3943,2914.0861,2865.6922,21772347400,233035814697.0000,3,0.612365,1,1.688733,0
2020-04-03,sh.000002,2906.6707,2914.0354,2886.2297,2896.6239,2914.0861,20072421300,214006517768.0000,3,0.564531,1,-0.599234,0
2020-04-07,sh.000002,2941.7164,2958.7825,2936.2978,2956.1495,2896.6239,26998842300,286491576378.0000,3,0.758732,1,2.054999,0
2020-04-08,sh.000002,2940.5731,2958.7070,2934.6826,2950.4806,2956.1495,24335450000,253077072167.0000,3,0.684215,1,-0.191766,0
2020-04-09,sh.000002,2961.4679,2968.3577,2955.7986,2961.5440,2950.4806,23804484100,247331704387.0000,3,0.669258,1,0.374969,0
2020-04-10,sh.000002,2962.8942,2969.0197,2923.8653,2930.8609,2961.5440,23332791400,246316071924.0000,3,0.655808,1,-1.036051,0
2020-04-13,sh.000002,2918.2308,2926.9712,2907.2072,2916.6691,2930.8609,17697348800,184041936068.0000,3,0.496975,1,-0.484220,0
2020-04-14,sh.000002,2929.0004,2963.0575,2923.3447,2963.0416,2916.6691,20257507500,223524201727.0000,3,0.569176,1,1.589913,0
2020-04-15,sh.000002,2962.3861,2965.6431,2943.5655,2946.1803,2963.0416,20549242900,231565232559.0000,3,0.577388,1,-0.569054,0
2020-04-16,sh.000002,2932.7967,2958.9879,2931.1336,2955.4296,2946.1803,20288428800,222358972281.0000,3,0.570060,1,0.313942,0
2020-04-17,sh.000002,2971.8362,2992.1722,2966.0080,2974.9072,2955.4296,24555534100,279941382164.0000,3,0.689926,1,0.659045,0
2020-04-20,sh.000002,2976.9095,2990.0775,2969.3960,2989.6194,2974.9072,21168810200,233672502845.0000,3,0.594538,1,0.494543,0
2020-04-21,sh.000002,2978.7901,2978.7901,2942.9269,2962.8460,2989.6194,23307812800,248614072435.0000,3,0.654613,1,-0.895545,0
2020-04-22,sh.000002,2949.2586,2980.6995,2943.4129,2980.6995,2962.8460,21714246500,232716458325.0000,3,0.609770,1,0.602579,0
2020-04-23,sh.000002,2987.5552,2990.8257,2972.2025,2974.9197,2980.6995,24865129400,262602518740.0000,3,0.698231,1,-0.193908,0
2020-04-24,sh.000002,2971.1847,2971.1847,2937.1893,2943.5111,2974.9197,23505804700,244069920972.0000,3,0.660060,1,-1.055780,0
2020-04-27,sh.000002,2947.4139,2968.8564,2937.6691,2950.8637,2943.5111,20999760400,225240539275.0000,3,0.589224,1,0.249790,0
2020-04-28,sh.000002,2955.5769,2957.4202,2890.8113,2945.1411,2950.8637,25361361300,270415580135.0000,3,0.711995,1,-0.193930,0
2020-04-29,sh.000002,2936.0501,2967.8977,2935.3731,2958.1525,2945.1411,20185657400,222602556495.0000,3,0.566675,1,0.441792,0
2020-04-30,sh.000002,2968.5752,3003.3358,2968.5752,2997.5608,2958.1525,24214461700,277286520495.0000,3,0.679757,1,1.332193,0
2020-05-06,sh.000002,2967.6965,3017.6994,2966.6965,3016.5379,2997.5608,24953262100,303761154520.0000,3,0.699922,1,0.633085,0
2020-05-07,sh.000002,3014.7826,3020.6111,3002.3040,3009.6135,3016.5379,22646179600,268506975038.0000,3,0.635551,1,-0.229548,0
2020-05-08,sh.000002,3021.3526,3043.4606,3017.6579,3034.5814,3009.6135,22659021600,276463339221.0000,3,0.635793,1,0.829605,0
2020-05-11,sh.000002,3041.1183,3054.4446,3023.1337,3034.0832,3034.5814,22488595700,271812481206.0000,3,0.630454,1,-0.016417,0
2020-05-12,sh.000002,3033.8872,3037.3425,3009.7456,3030.9788,3034.0832,19630756300,238143912112.0000,3,0.550435,1,-0.102318,0
2020-05-13,sh.000002,3021.9540,3040.2234,3014.2549,3037.9197,3030.9788,18446487000,223649170624.0000,3,0.517223,1,0.228999,0
